Date;Open;High;Low;Close;Volume
2007-08-10;58743.3;58743.3;57745.8;58097;70674376
2007-08-13;58644.2;59538;58644.2;59538;62071424
2007-08-14;58935.7;58935.7;58818.9;58848.2;72633552
2007-08-16;55724.9;55724.9;55037.8;55195.7;134010704
2007-08-17;54713.7;56174.3;54713.7;56174.3;118088688
2007-08-20;56906.5;56906.5;56437.9;56437.9;71996200
2007-08-21;55346.4;55718.4;55346.4;55716.3;64621888
2007-08-22;56804.8;58318.4;56804.8;58318.4;90942896
2007-08-23;59263.8;59263.8;59015.2;59015.2;86193872
2007-08-24;58840.8;59910.4;58840.8;59910.4;59982836
2007-08-27;60622.7;60622.7;59832;59832;85989328
2007-08-28;59511.6;59596.7;59228.1;59228.1;72176368
2007-08-29;58905.3;59765.1;58905.3;59765.1;82079064
2007-08-30;60167.6;60167.6;58767.5;58790.2;130538648
2007-08-31;60092.9;60429.7;60092.9;60429.7;61724492
2007-09-03;60728.1;60774.4;60621.5;60774.4;139156352
2007-09-04;60393.9;61186;60393.9;61186;127296832
2007-09-05;61070.7;61070.7;60156.9;60156.9;202324736
2007-09-06;60441.7;60441.7;59686;59686;116317800
2007-09-07;60060.9;60060.9;58904.8;58972.5;73908072
2007-09-10;58323.1;58331.6;57933.4;57933.4;61941904
2007-09-11;58418.3;58490.4;58418.3;58428.3;39362952
2007-09-12;58654.4;59340.9;58654.4;59340.9;49510468
2007-09-13;59457.9;60146.8;59457.9;60146.8;58408880
2007-09-14;59902.9;59902.9;59534.2;59747.8;59229848
2007-09-17;59322.4;59682.1;59322.4;59682.1;89636312
2007-09-18;59792.9;60262.2;59792.9;60262.2;112949952
2007-09-19;61639.1;62277;61639.1;62277;128778352
2007-09-20;62192.1;62309.9;62053.2;62309.9;132443824
2007-09-21;62421.1;62421.1;61528.8;61948.7;148024576
2007-09-24;61888.4;61888.4;61281.8;61281.8;103397096
2007-09-25;60728.8;60728.8;60582.5;60707.6;71747040
2007-09-26;60912.9;60912.9;60806.8;60881.6;70155776
2007-09-27;61426.6;61426.6;60665.6;60665.6;64257520
2007-09-28;60869.5;60869.5;60000;60000;63881260
2007-10-01;59947.4;59947.4;59315.7;59894.4;56516940
2007-10-02;60523.7;60925.9;60523.7;60811.9;79659592
2007-10-03;60742.3;60742.3;60544.4;60544.4;71547440
2007-10-04;60572.7;60669;60572.7;60643.3;62461092
2007-10-05;60732.8;61115.7;60732.8;61115.7;90596736
2007-10-08;61294.2;61328.1;61150.4;61328.1;91942106
2007-10-09;61896.9;62674.6;61896.9;62674.6;96664291
2007-10-10;62830.6;63041.1;62590.1;62590.1;89221539
2007-10-11;63199;63711.2;63199;63711.2;85829240
2007-10-12;63171.7;63456;63171.7;63456;80632758
2007-10-15;63928.1;63954.4;63918.7;63954.4;80460043
2007-10-16;63159.8;63159.8;62932.8;62932.8;51982244
2007-10-17;62880.8;63288.4;62880.8;63288.4;50386137
2007-10-18;62875.2;62875.2;61979.7;62186.1;60461787
2007-10-19;62334.2;62772.3;62334.2;62772.3;66935727
2007-10-22;61733.6;62271.3;61729.6;62271.3;70917483
2007-10-23;62815.1;63508.6;62815.1;63508.6;60748120
2007-10-24;63068.5;63095.1;62942.4;63095.1;55014689
2007-10-25;63306.2;63306.2;63171.5;63265.3;58923818
2007-10-26;62829.4;63134.3;62829.4;63018.4;47577017
2007-10-29;63589.2;63589.2;63383.9;63383.9;45286294
2007-10-30;62985.9;62985.9;62708.1;62970.6;48355300
2007-10-31;62960.8;62960.8;62693.6;62739.3;34052965
2007-11-02;61794.8;61794.8;61718.7;61718.7;49249876
2007-11-05;61224.1;61295.7;60745.4;61295.7;58905802
2007-11-06;61217;61217;61019.6;61019.6;55682608
2007-11-07;60365.1;60365.1;59379.5;59448.1;100079836
2007-11-08;58113.7;58774.9;58113.7;58774.9;109911648
2007-11-09;58745.6;58745.6;57304.3;57681.1;81071617
2007-11-12;57255.9;57255.9;56711.6;56711.6;56962301
2007-11-13;56766.9;57478.4;56766.9;57467;66823788
2007-11-14;57947.9;57947.9;56865.1;56865.1;98027300
2007-11-15;56412;56412;54724;55073.7;99109213
2007-11-16;53920.9;55016.3;53920.9;55016.3;131513517
2007-11-19;55029.5;55048.4;54961;55048.4;63122933
2007-11-20;54363.4;55143.7;54363.4;55143.7;104779494
2007-11-21;53964.3;54145.1;53857.4;54145.1;109487682
2007-11-22;54093.2;55109.7;54093.2;55109.7;165545966
2007-11-23;55654.7;55664.9;55594.8;55594.8;98902694
2007-11-26;55499.6;55499.6;54840.1;54878.2;105874464
2007-11-27;54520.1;54520.1;54077.1;54077.1;61191732
2007-11-28;54151.9;55316.5;54151.9;55316.5;106191164
2007-11-29;55989.4;55989.4;55609.8;55609.8;106198192
2007-11-30;56361.8;56438.9;56189;56189;107374704
2007-12-03;55939.4;55939.4;55928.3;55928.3;82067944
2007-12-04;55803.7;56031;55803.7;56031;227547682
2007-12-05;56931.7;57670.4;56931.7;57634.5;229253306
2007-12-06;58189.8;58189.8;57545.6;57629.5;191261212
2007-12-07;57707;58122.9;57707;58122.9;104121753
2007-12-10;58606.7;58606.7;58166.2;58272.2;144121732
2007-12-11;58012.7;58012.7;57719.1;57865.6;93075870
2007-12-12;57297.4;58087.4;57297.4;58087.4;117019857
2007-12-13;57576.2;57576.2;56922.9;57206.6;76652391
2007-12-14;56586.3;56586.3;56015.5;56325.6;84967560
2007-12-17;55178.7;55178.7;54789.4;54789.4;124134800
2007-12-18;54099.4;54626;54099.4;54508.1;157382640
2007-12-19;54200.5;54446.9;54155.7;54446.9;130763128
2007-12-20;54634.9;54686.8;54634.9;54686.8;125422108
2007-12-21;55379.3;55379.3;55170.6;55186.6;180139613
2007-12-27;55657;55949.6;55657;55949.6;110213511
2007-12-28;55331.4;55404.4;55011.9;55011.9
2008-01-02;55153.6;55294.3;54880.5;54880.5;80115386
2008-01-03;54426.8;54873.1;54426.8;54873.1;76810939
2008-01-04;55007.4;55007.4;54186.2;54252;94798556
2008-01-07;53586.2;53586.2;53164.3;53164.3;103217315
2008-01-08;52855.1;53313.5;52855.1;53313.5;107902346
2008-01-09;52056.4;52056.4;51492.8;51873;241349934
2008-01-10;51158.4;51158.4;50289.8;50623.5;160137904
2008-01-11;50291.5;50291.5;49886.6;49886.6;119546111
2008-01-14;48718.7;49156.1;48718.7;49156.1;127823971
2008-01-15;48900.8;48900.8;47355.9;47355.9;118931132
2008-01-16;45526.4;45947.8;45526.4;45634.4;261204620
2008-01-17;46018.3;46018.3;45880.6;45980.1;200618363
2008-01-18;45647;46565.6;45647;46565.6;160681092
2008-01-21;45590.3;45590.3;43939.1;43939.1;123393583
2008-01-22;43468.4;44589;43468.4;44589;164578960
2008-01-23;45274.8;45274.8;43873.4;44862.5;187138478
2008-01-24;46044.5;46729.9;46044.5;46729.9;153201196
2008-01-25;46817.6;46986.8;46817.6;46941.5;197485620
2008-01-28;45952.7;46227.9;45952.7;46034.2;128523621
2008-01-29;46876;47440.8;46876;47440.8;157405289
2008-01-30;47516.3;47854.6;47424.7;47854.6;126546440
2008-01-31;47467.6;47467.6;46886;47180.9;136570177
2008-02-01;48054.3;48494.4;48054.3;48494.4;161993218
2008-02-04;49110.1;49110.1;48810.3;48810.3;109493418
2008-02-05;48499;48499;47261.4;47261.4;93093363
2008-02-06;46186.4;47335.8;46186.4;47335.8;120141904
2008-02-07;47139.2;47139.2;46225;46654.2;98941195
2008-02-08;46549.6;46993.3;46549.6;46993.3;74831289
2008-02-11;47568.3;47568.3;47367.6;47367.6;90126354
2008-02-12;47864.6;48801.9;47864.6;48801.9;150297299
2008-02-13;48785.3;49280.8;48785.3;49181.9;143541241
2008-02-14;49296.1;49547.5;49296.1;49431.1;107838065
2008-02-15;49107.5;49107.5;48569;48726.3;64079752
2008-02-18;49267.1;49622.4;49267.1;49622.4;108206989
2008-02-19;49130.6;49730.6;49130.6;49587.4;95087636
2008-02-20;49034.6;49290.7;48791.9;49290.7;56195074
2008-02-21;49381.2;49381.7;49144.5;49144.5;71874072
2008-02-22;48840.8;48903;48747.1;48747.1;63920552
2008-02-25;49294.1;49294.1;48822.7;48822.7;54221127
2008-02-26;48978.8;48978.8;48347.1;48419.6;78414729
2008-02-27;48423.9;48423.9;48104.7;48322.6;48152813
2008-02-28;48093.1;48093.1;47816.8;47894.9;54111595
2008-02-29;47781.6;47781.6;46912.4;46912.4;68658888
2008-03-03;45541.4;45951.9;45541.4;45951.9;129636920
2008-03-04;45330.9;45330.9;45233.6;45275.7;70452568
2008-03-05;45442.9;46268.2;45442.9;46268.2;61891337
2008-03-06;45842.2;45842.2;45714.9;45806.7;60863300
2008-03-07;45063.5;45262.1;44923.9;45262.1;56965926
2008-03-10;45765.2;45897.8;45725.2;45897.8;63122058
2008-03-11;46228.2;46817.4;46228.2;46817.4;62505560
2008-03-12;47119.4;47119.4;46752.4;47078.6;58693498
2008-03-13;46017.2;46017.2;45834.3;45896.1;53862807
2008-03-14;46146.4;46146.4;45704.9;45704.9;69765959
2008-03-17;44672;44672;44245.6;44413.4;111944696
2008-03-18;44526.8;45829;44526.8;45829;52282571
2008-03-19;45668.8;46132.6;45668.8;46132.6;54908976
2008-03-20;45867.5;45903.8;45427;45427;80240547
2008-03-25;46705.5;46805.5;46498.2;46805.5;61992112
2008-03-26;46945;46945;46872;46906;59532913
2008-03-27;47476.6;47537;47425.9;47537;55910282
2008-03-28;47301.5;47456.6;47301.5;47456.6;49360206
2008-03-31;46803.1;47529.9;46803.1;47529.9;54404950
2008-04-01;47782.4;48103;47782.4;48103;77203979
2008-04-02;48350.9;48350.9;48046.6;48046.6;59285713
2008-04-03;48051.1;48051.1;47629.4;47653.8;50153870
2008-04-04;47733.3;48136.9;47733.3;48136.9;42786793
2008-04-07;48653.1;48653.1;48426;48426;42022034
2008-04-08;48018.9;48018.9;47773.1;47773.1;35628619
2008-04-09;47732.4;48085.9;47732.4;48085.9;55748230
