Date,Open,High,Low,Close,Volume
2018-12-24,822.54,822.54,810.74,810.74,2392923208
2018-12-26,810.74,832.66,809.61,832.6,3764339366
2018-12-27,832.5,832.5,817.55,832.36,3507628607
2018-12-28,832.38,841.74,831.87,836.47,3337003539
2018-12-31,836.5,840.41,834.21,840.28,3143992932
2019-01-02,840.27,848.77,832.39,848.33,3329216145
2019-01-03,848.2,848.2,839.25,842.79,3321925056
2019-01-04,842.81,863.85,842.81,863.61,3675212703
2019-01-07,863.63,876.48,863.63,874,3572253045
2019-01-08,874.06,881.79,874.06,881.78,3637005031
2019-01-09,881.78,889.37,881.78,888.44,3634079564
2019-01-10,888.28,890.3,883.47,890.3,3328025887
2019-01-11,890.19,890.93,887.06,890.78,3066889125
2019-01-14,890.8,890.8,885.86,886.69,3200070273
2019-01-15,886.7,890.08,886.7,890.08,3211521732
2019-01-16,890.08,894.3,890.08,893.32,3412266837
2019-01-17,893.32,898.48,891.34,897.18,3240379026
2019-01-18,897.28,905.13,897.28,904.39,3459596641
2019-01-22,904.26,904.26,891.48,893.29,3329294643
2019-01-23,893.29,896.89,889.38,892.47,2933669615
2019-01-24,892.49,896.67,892.32,896.41,3040677829
2019-01-25,896.74,904.61,896.74,903.98,3373381814
2019-01-28,903.91,903.91,897.41,901.16,3219496823
2019-01-29,901.16,903.14,900.99,901.88,3149864496
2019-01-30,901.88,910.56,901.82,909.44,3509591042
2019-01-31,909.44,914.71,909.38,914.37,4260893990
2019-02-01,914.38,915.87,913.7,915.69,3409757244
2019-02-04,915.69,920.08,914.44,920.08,3011791144
2019-02-05,920.09,922.9,920.07,922.61,3203711839
2019-02-06,922.61,922.61,919.59,920.17,3152426231
2019-02-07,920.17,920.17,908.69,912.62,3681863863
2019-02-08,912.57,912.57,907.29,911.69,3274171307
2019-02-11,911.68,914.66,911.49,914.49,2982738974
2019-02-12,914.62,922.07,914.62,921.37,3454082784
2019-02-13,921.37,925.39,921.37,924.54,3265264382
2019-02-14,924.53,926.78,921.49,924.76,3383238898
2019-02-15,924.78,931.62,924.78,931.47,3225612818
2019-02-19,931.46,936.05,930.54,935.09,3178506910
2019-02-20,935.12,938.57,935.12,937.65,3411707235
2019-02-21,937.64,937.64,933,934.46,3204839469
2019-02-22,934.47,940.09,934.47,939.8,3063760681
2019-02-25,940.28,943.87,940.28,940.43,3324691544
2019-02-26,940.42,941,938.95,939,3258020106
2019-02-27,938.99,938.99,935.68,938.06,3356006764
2019-02-28,938.08,938.08,934.84,935.64,3091891130
2019-03-01,935.67,940.16,935.27,938.41,3559107395
2019-03-04,938.44,940.48,931.58,935.87,3440700736
2019-03-05,935.87,936.14,933.55,934.68,3196922457
2019-03-06,934.69,934.72,926.44,926.58,3354868069
2019-03-07,926.58,926.58,919.83,920.42,3422011041
2019-03-08,920.33,920.33,914.73,917.48,3074761868
2019-03-11,917.5,926.42,917.5,926.42,3171525226
2019-03-12,926.51,929.01,926.51,928.02,3077945182
2019-03-13,928.02,932.25,928.02,931.14,3353476494
2019-03-14,931.14,931.14,928.15,928.53,3119615788
2019-03-15,928.53,932.27,928.53,930.26,4873102002
2019-03-18,930.35,934.47,930.35,934.32,3143449032
2019-03-19,934.45,937.02,931.73,932.52,3238895263
2019-03-20,932.52,935.27,926.74,930.94,3330458860
2019-03-21,930.93,937.05,929.49,936.28,3205893373
2019-03-22,936.13,936.13,919.82,919.89,3805171246
2019-03-25,919.89,922.44,915.96,920.09,2955358025
2019-03-26,920.09,926.86,920.09,924.73,2942177743
2019-03-27,924.7,926,919.36,923.17,3023833929
2019-03-28,923.12,925.71,921.15,925.41,2847253061
2019-03-29,925.41,929.91,925.41,927.65,3201545320
2019-04-01,927.87,936.04,927.87,935.96,3147093374
2019-04-02,935.95,936.06,932.1,934.3,2923344430
2019-04-03,934.34,938.49,934.34,935.81,3194003535
2019-04-04,935.81,939.18,935.8,939.18,2767773046
2019-04-05,939.27,944.15,939.27,944.11,2795448441
2019-04-08,944.11,944.83,942.7,944.77,2745369414
2019-04-09,944.77,944.77,938.52,938.8,2728981113
2019-04-10,938.87,944.36,938.87,944.05,2779881924
2019-04-11,944.05,945.3,942.87,943.83,2655780152
2019-04-12,943.83,948.18,943.83,946.97,3276716082
2019-04-15,947.01,947.75,944.6,945.39,2773277575
2019-04-16,945.4,947.03,944.82,945.5,3056505469
2019-04-17,945.5,947.68,941.79,942.75,3191559911
2019-04-18,942.79,943.82,940.53,942.67,3145301458
2019-04-22,942.64,942.74,940.49,941.95,2685020718
2019-04-23,941.99,947.84,941.74,947.3,3196728180
2019-04-24,947.28,948.03,945.36,945.91,3055251971
2019-04-25,945.91,945.91,938.91,940.72,3078364263
2019-04-26,940.71,944.42,940.06,944.36,2933197171
2019-04-29,944.4,947.56,944.4,946.11,2766150007
2019-04-30,946.13,946.62,941.59,945.71,3460050461
2019-05-01,945.71,946.75,940.88,940.93,3205618668
2019-05-02,940.93,941.55,935.85,939.13,3329166519
2019-05-03,939.14,948.15,939.14,948.04,3005300499
2019-05-06,948.04,948.04,939.18,945.68,2816692170
2019-05-07,945.58,945.58,932.02,934.84,3210608780
2019-05-08,934.84,936.62,933.25,933.27,2902606474
2019-05-09,933.08,933.08,923.33,929.55,3088227423
2019-05-10,929.55,932.24,922.91,931.56,3050776705
2019-05-13,931.26,931.26,913.22,914.34,3318613722
2019-05-14,914.34,922.71,914.34,921.24,2864264079
2019-05-15,921.23,924.1,917.31,923.42,2681319266
2019-05-16,923.42,929.38,923.42,926.48,2885814981
2019-05-17,926.47,926.47,919.19,919.35,2861372088
2019-05-20,919.34,919.34,913.91,914.7,2793877102
2019-05-21,914.75,922.07,914.75,921.85,2750150450
2019-05-22,921.85,921.85,916.05,916.55,2790163580
2019-05-23,916.4,916.4,903.45,905.97,3398691057
2019-05-24,906,910.15,906,908.91,2498393873
2019-05-28,908.91,911.05,904.47,904.51,3470988188
2019-05-29,904.46,904.46,895.88,898.43,3166768530
2019-05-30,898.43,901.57,895.65,897.27,2852997431
2019-05-31,897.15,897.15,889.2,889.92,3427556639
2019-06-03,889.92,894.78,889.92,893.39,3294990470
2019-06-04,893.4,905.49,893.4,905.48,3217319489
2019-06-05,905.56,907.73,900.85,903.88,3080437737
2019-06-06,903.88,904.53,899.69,903.53,2958536053
2019-06-07,903.59,909.79,903.59,908.55,2852354400
2019-06-10,908.57,914.23,908.57,911.14,2818440455
2019-06-11,911.26,915.92,910.23,911.29,2821671375
2019-06-12,911.24,911.24,908.26,908.59,2683706979
2019-06-13,908.65,913.41,908.65,913.4,2693736914
2019-06-14,913.45,913.45,908.85,909.13,2633859456
2019-06-17,909.12,911.56,908.97,910.27,2455971201
2019-06-18,910.27,919.64,910.27,916.83,2948853766
